id,title,price,condition,thumbnail
MLB4533750248,"Notebook Lenovo Ideapad 1 Intel Core I3 1215u 8gb Ram 256gb Ssd Windows 11 Home Tela 15,6  82vy000sbr",2529.0,new,http://http2.mlstatic.com/D_980196-MLU74273698661_012024-I.jpg
MLB3571995199,Notebook Positivo Vision C14 Lumina Bar Celeron 4gb 128gb Emmc Tela 14 Polegadas Hd Antirreflexo Windows 11 Tecla Link  Cinza,1425.0,new,http://http2.mlstatic.com/D_830804-MLU77275433602_072024-I.jpg
MLB3908330733,"Notebook Positivo Vision I15 Lumina Bar I3-n300, 8gb 512gb Ssd, Tela 15 Polegadas Full Hd Antirreflexo Linux - Cinza",2349.0,new,http://http2.mlstatic.com/D_929019-MLA82109369086_022025-I.jpg
MLB3624750095,Notebook Asus Vivobook Go Core I3 N305 4gb 256ssd W11 Fhd,2557.0,new,http://http2.mlstatic.com/D_863801-MLU74552202586_022024-I.jpg
MLB3994857997,Notebook Acer Aspire 5 A515-45-r36l Ryzen 7 15.6 Radeon 512gb 12gb Linux,3312.36,new,http://http2.mlstatic.com/D_655058-MLU77403252103_072024-I.jpg
MLB3771558083,"Notebook Vaio Fe15 Amd Ryzen 5 12gb 512gb Ssd, Tela 15,6'' Full Hd Antirreflexo, Windows 11 Home, Cinza Grafite",3031.27,new,http://http2.mlstatic.com/D_612417-MLU78142952279_082024-I.jpg
MLB3988105539,"Notebook Samsung Galaxy Book4 Intel® Core I5-1335u (1.3 Ghz, Até 4.6ghz, 12 Mb L3 Cache), Windows 11 Home, 8gb, 512gb Ssd, Iris Xe, 15.6'' Full Hd Led, 1.55kg",3249.0,new,http://http2.mlstatic.com/D_618141-MLU76378990682_052024-I.jpg
MLB5109682250,Notebook Asus Vivobook 16 Intel Core I7 1355u 16gb Ram 1tb Ssd Windows 11 Home Tela 16 Fhd Cool Silver  X1605va-mb764w,5309.1,new,http://http2.mlstatic.com/D_652489-MLU78240826876_082024-I.jpg
MLB5300711730,Notebook Acer Aspire 3 Intel Core I3 N305 Fhd 15.6  Led Tn Uhd Para Processadores Inte 256gb Sdd 8gb Ram Debian 64 Bits Prata - A315-510p-320b,2653.0,new,http://http2.mlstatic.com/D_973573-MLA81663003654_012025-I.jpg
MLB3988950155,"Notebook Samsung Galaxy Book2 Intel Core I5-1235u, 8gb, 256gb, Windows 11 Home, 15,6 , Grafite",3299.0,new,http://http2.mlstatic.com/D_965443-MLA72983129822_112023-I.jpg
MLB5278552912,Notebook Acer Aspire 15 73wh Intel Ci7 13620h 13ªgen Gb Ram 512gb Ssd Fhd 15.6  64-bits (debian),3599.0,new,http://http2.mlstatic.com/D_929459-MLA80644478754_112024-I.jpg
MLB5294198998,"Notebook Ultra, Linux, 15,6 Pol. Hd, Intel Celeron, 240gb Ssd/ 8gb Ram, Cinza Escovado - Ub262",1499.0,new,http://http2.mlstatic.com/D_743480-MLA80356197061_102024-I.jpg
MLB3799920869,Notebook Positivo Vision C14 Lumina Bar Celeron 8gb 256gb Emmc Tela 14 Polegadas Hd Antirreflexo Linux Tecla Link - Cinza,1449.0,new,http://http2.mlstatic.com/D_960836-MLU77275893974_072024-I.jpg
MLB3435629028,Notebook Motion C4500ei 14.1  Cinza 4gb De Ram - 500gb Hdd - Intel Celeron,1279.0,new,http://http2.mlstatic.com/D_975713-MLU72560062762_112023-I.jpg
MLB3974521071,"Notebook Samsung Galaxy Book Go Snapdragon® 7c Gen 2 (kryo 468 Octa-core Cpu, Até 2.55 Ghz), Windows 11 Home, 4gb, 128gb Ufs, 14'' Full Hd Led, 1.38kg",1791.78,new,http://http2.mlstatic.com/D_689964-MLA54840382306_042023-I.jpg
MLB3805227995,"Notebook Gamer Lenovo Loq 15irh8 Intel Core I5 12450h 16gb Ram 512gb Ssd Rtx 2050 Windows 11 Home Tela 15,6  Full Hd 83eu0001br",5035.35,new,http://http2.mlstatic.com/D_679177-MLA76804357152_062024-I.jpg
MLB3692281025,"Notebook Asus Vivobook Go 15 E1504 Amd Ryzen 5 7520u 8gb Ram 256gb Ssd Linux Keepos 15,6 Fhd Black E1504fa-nj731",2575.08,new,http://http2.mlstatic.com/D_708427-MLU76103753820_052024-I.jpg
MLB4863438674,Notebook Ultra Windows 11 Home 15.6 Pol 4gb 120gb - Ub490 Cor Cinza,1899.0,new,http://http2.mlstatic.com/D_979758-MLU77096767282_062024-I.jpg
MLB3564321807,"Notebook Lenovo Ideapad 1i Intel Core I3 1215u 4gb 256gb Linux 15,6  Hd 82vys00600",2059.0,new,http://http2.mlstatic.com/D_746574-MLA81033994380_122024-I.jpg
MLB3722667449,Notebook Acer Predator Gamer Phn16-71-72w6 I7-13650hx 16gb 512gb Ssd Rtx 4060 Windows 11 Home Tela 16 Wuxga,7999.0,new,http://http2.mlstatic.com/D_924120-MLU76379349918_052024-I.jpg
MLB5162304560,Notebook Acer Aspire 5 A15-51m-54e6 / Intel Core I5-13420h De 13ª Geração / 8gb / 512ssd / Windows 11 Home / 15.6 Full Hd,3099.0,new,http://http2.mlstatic.com/D_854169-MLA80084821283_102024-I.jpg
MLB3671519405,Notebook Lenovo Ideapad 1 15iau7 Intel Core I7-1255u Hd 15.6  Intel Iris Xe 512gb Ssd 12gb Ram Windows 11- 82vy000pbr,3799.99,new,http://http2.mlstatic.com/D_621472-MLU73177903172_122023-I.jpg
MLB3946711245,"Notebook Vaio Fe15 Intel Core I7 11ª Gen Windows 11 Home 8gb Ram 512gb Ssd, Tela 15.6  Full Hd Antirreflexo, Cinza Grafite",3799.0,new,http://http2.mlstatic.com/D_708510-MLA81091061956_122024-I.jpg
MLB3973139203,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 5 8gb 256gb, Tela 15 Polegadas Full Hd Antirreflexo, Linux - Preto",2699.0,new,http://http2.mlstatic.com/D_607452-MLA81047761073_112024-I.jpg
